CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,lat,lng
0,19,1,17,-37.6833,176.1667
1,47,1,36,41.25,14.0667
3,82,1,155,18.6057,84.2355
1,9,1,46,-22.5328,-52.1678
1,15,2,64,20.8794,-103.8356
1,44,1,38,42.6589,13.7039
4,113,9,142,39.1467,117.2056
1,20,0,54,10.7167,123.5167
1,44,3,60,35.7996,139.4686
4,8,19,166,19.2925,-99.6569
0,23,1,27,-7.7764,-34.8919
1,7,1,23,-15.66,-40.0658
1,13,0,31,-18.4167,-49.2167
2,22,9,90,13.7333,-89.6667
1,38,0,51,42.5633,47.8636
1,38,0,170,23.1667,79.9333
0,9,1,22,-13.5308,-39.9708
1,27,2,47,51.9667,17.5
1,32,0,59,8.65,124.75
4,23,3,133,7.84,4.486
1,29,1,7,61.1833,28.7667
2,2,8,73,-26.8978,-49.2319
0,24,0,50,14.2,120.8833
0,9,1,25,-14.1628,-40.0058
3,18,2,90,7.9667,3.6
2,26,3,81,18.0292,-95.5264
0,20,1,29,-3.9689,-38.5278
1,16,1,44,-21.0108,-40.8339
1,12,0,65,4.4081,32.575
1,28,10,53,40.2237,-74.7641
1,28,10,53,42.1394,-83.1929
1,28,10,53,39.4792,-84.462
0,23,0,56,18.3599,-66.0096
1,26,3,57,53.2667,-7.5
0,35,0,62,39.1064,39.5472
1,27,4,49,44.1565,-87.5824
1,34,0,32,55.8667,72.2
2,92,0,163,23.5247,80.8372
4,3,36,126,33.9209,-118.2356
4,3,36,126,41.7641,-87.9454
2,9,22,63,42.0771,-87.7282
2,27,10,53,38.9395,-77.2842
2,38,10,86,42.132,-83.2374
2,44,4,112,30.1697,121.2665
3,155,2,151,33.3936,120.1339
4,24,0,121,0.7675,24.4414
2,48,0,69,42.9044,129.5067
1,34,3,47,42.8901,-97.3927
1,34,4,69,50.9667,7.8667
1,32,6,64,51,3.8833
1,20,1,10,60.7029,-135.0691
1,30,3,38,52.9779,-6.033
1,27,3,59,47.4667,9.05
1,30,5,67,52.9,8.4333
2,13,16,75,41.2399,-77.037
2,18,21,60,42.4239,-88.1844
1,36,0,25,55.8333,12.0666
1,30,8,41,38.7601,-76.9642
1,28,2,44,51.3484,9.5256
1,26,1,29,43.342,142.3832
3,168,5,99,27.9814,116.3577
3,168,5,99,26.0769,119.2917
1,25,3,23,55.6194,-2.8033
1,26,4,41,50.9831,6
0,33,1,36,52.4183,9.5981
2,12,0,59,9.3,13.4
0,33,2,35,51.7,4.8586
0,29,0,13,-28.7744,114.6089
1,29,3,51,49.2167,8.3667
4,9,6,103,4.305,-74.8017
1,30,4,35,53.4758,-2.5943
0,27,2,21,41.15,-8.5333
0,27,2,21,42.1111,-8.7611
1,45,0,307,24.3785,81.2964
2,26,16,61,42.064,-88.1468
1,42,2,37,35.6526,-78.8399
1,42,2,37,34.1681,-84.4847
0,32,1,42,51.8297,9.4483
1,23,0,102,8.15,39.35
1,53,1,64,39.3167,8.5333
1,45,0,38,33.65,130.6833
1,69,1,60,37.4363,137.2605
1,41,1,50,46.255,20.145
2,125,1,82,34.6919,50.0131
1,25,1,41,14.1,120.9333
1,34,3,52,35.3328,137.1316
1,47,1,44,36.7192,140.7167
1,36,3,34,34.7914,133.6164
1,19,0,37,8.4488,125.7869
1,27,1,46,56.7333,37.5333
1,18,12,64,25.7556,-80.4016
2,52,8,92,32.8536,35.1978
1,20,0,35,6.6167,124.75
2,53,1,88,-7.215,107.8856
0,45,0,43,38.5022,42.2814
1,24,7,58,50.9452,-2.637
2,35,5,143,38.7299,112.7134
2,36,8,187,35.0304,110.998
1,29,6,58,50.8833,4.4667
1,27,8,65,50.9722,4.4222
2,66,0,73,37.7527,114.7775
3,33,9,98,22.5333,113.35
3,33,9,98,34.943,105.8771
4,45,10,156,29.7169,120.2314
4,8,18,163,19.2833,-99.7333
1,35,0,21,51.1667,82.2
1,37,4,69,45.4,8.9167
4,15,4,105,5.3167,-4.0333
2,37,8,64,34.0566,-84.6716
1,32,5,54,39.0017,-76.9649
1,18,10,80,33.2198,-86.8225
1,36,1,50,43.0333,44.2333
1,25,3,35,50.8761,5.3078
1,27,0,55,48.55,-71.65
1,27,0,55,43.3799,-84.6556
0,28,0,13,-10.3167,150.4333
0,26,0,20,-25.1764,46.0833
2,107,5,86,36.3619,119.1072
0,22,0,20,-14.8833,50.25
3,7,25,76,37.9787,-121.796
3,7,25,76,42.4742,-88.0721
2,14,1,104,5.2789,-0.7397
1,28,1,15,51.9333,43.5
1,28,1,19,56.1,49.8833
1,29,1,39,40.2975,44.3617
3,5,10,104,14.175,-89.7417
1,40,3,57,42.5833,13.9833
1,29,2,20,55.458,-4.629
1,29,2,20,-19.5744,147.4066
0,34,1,26,52.2167,5.2833
0,30,1,32,51.1081,10.6467
1,38,1,466,29.9928,73.2536
0,28,0,52,16.073,102.7362
0,23,0,27,17.5965,120.6179
0,28,2,38,53.7167,10.2667
1,23,6,56,36.7365,-95.9456
1,117,1,78,34.62,71.97
2,57,1,92,4.4667,101.05
2,32,7,124,45.2981,10.475
2,68,6,57,38.9,16.6
1,26,0,68,11.7833,124.8833
1,4,2,39,0.0439,-78.1561
1,36,5,38,44.2,12.3944
0,17,1,17,-34.6333,-60.4667
0,4,0,21,-6.2167,-77.85
3,119,1,151,41.5757,120.4486
1,38,0,35,54.2333,83.3667
1,40,0,49,44.2222,42.0575
2,4,5,72,17.55,-99.5
1,32,2,73,38.8597,-104.6995
1,2,0,46,-4.085,-63.1408
1,12,9,35,55.8625,-4.0266
0,24,1,16,51.851,-8.2967
1,14,2,45,-19.5389,-40.6308
1,12,6,65,18.8833,-71.7
1,34,4,112,45.8103,9.0861
0,19,0,11,-11.8139,-37.6108
0,31,2,22,54.85,-1.83
4,4,19,152,26.0463,-80.2862
1,21,1,31,31.1192,-97.914
1,12,0,13,-27.4833,-58.8167
2,28,9,103,44.7167,11.15
1,35,0,52,38.9558,45.6308
0,30,2,13,43.2883,-8.3894
0,25,0,73,15.1773,73.9939
1,2,4,42,-18.7558,-44.4308
0,35,0,30,53.8611,8.6944
1,25,5,46,26.5392,-81.8999
2,13,0,63,10.656,-12.272
1,26,1,39,47.025,4.8397
1,18,6,56,52.135,-0.47
1,18,6,56,32.8464,-97.135
1,18,6,56,42.9406,-71.5302
1,18,6,56,41.225,-73.6673
1,18,6,56,42.4969,-71.2783
1,18,6,56,38.8602,-86.4895
1,18,6,56,41.3919,-81.536
2,13,2,105,6.3833,-0.3833
2,90,1,93,41.802,120.7621
0,22,0,45,-3.0508,-40.1678
1,8,1,54,-22.7322,-64.3425
0,29,2,36,51.8,11.7333
1,35,5,50,41.0555,-76.2492
1,34,0,153,22.68,75.62
1,36,5,48,42.5681,-70.8627
0,24,0,24,57.7667,36.7
3,179,2,166,32.2656,72.8994
1,26,1,151,19.2967,73.0631
2,45,0,92,3.5986,98.4803
1,39,1,48,43.6825,43.5339
1,16,2,104,10.8,-74.9167
1,27,1,51,14.5167,121.2667
1,27,1,51,13.6667,124.3667
0,20,0,38,15.8647,100.5858
1,27,5,41,52.2667,4.5
1,46,2,47,42.13,-71.6547
0,29,3,18,52.6286,1.2928
0,29,3,18,41.5495,-72.0882
0,29,3,18,42.9833,-80.6
1,32,3,37,51.4733,5.5467
2,2,9,61,-38.7433,-72.95
1,17,2,46,30.4167,-107.9167
2,13,27,79,41.7139,-87.7528
1,24,9,53,44.9876,-92.9641
1,24,9,53,37.7618,-120.8468
1,38,2,39,35.25,139.15
1,41,0,42,41.1169,20.8019
1,36,0,47,54.0333,22.5
1,27,4,32,51.7167,7.3833
0,6,1,25,-11.3669,-38.3328
2,26,7,73,40.2981,-111.6994
1,22,11,52,37.8808,-122.179
3,9,11,94,14.8693,-91.6211
2,22,1,80,7.85,3.933
1,45,0,48,36.7167,15.1
1,33,0,156,22.23,73.08
0,27,0,10,-5.0911,-81.1064
1,20,0,55,11.1583,124.9917
3,32,2,76,42.9392,126.0561
1,2,0,36,-2.9958,-47.3528
1,18,1,41,-10.6744,-77.8186
1,44,4,56,39.3832,-76.5519
1,43,5,58,29.6575,-95.1498
1,43,5,58,34.1597,-118.139
1,43,5,58,39.1552,-76.5537
1,32,7,45,40.011,-82.7155
1,41,0,50,52.3,76.95
1,46,2,31,40.9,-73.8063
1,46,2,31,33.3114,-86.7573
1,46,2,31,43.0333,-79.3333
1,46,2,31,42.7335,-71.324
3,7,8,77,19.562,-97.242
1,33,1,63,45.25,19.8667
1,27,0,59,7.5,100
0,17,0,35,13.1119,99.9458
2,111,1,391,31.03,75.78
2,60,3,55,31.4044,30.4164
1,48,0,12,39.5667,16.6333
1,32,0,26,47.2333,39.7
1,32,0,26,57.1833,39.4167
0,32,1,56,53.566,-2.121
1,32,1,30,50.7169,11.3275
0,29,2,29,50.9516,14.5571
0,19,0,28,-11.0167,33.8667
0,8,0,18,-12.2839,-40.4939
1,40,2,34,34.5167,135.85
0,32,1,58,53.483,-2.2931
0,16,1,30,-12.9747,-38.4767
0,16,1,30,20.2094,-75.2231
1,36,0,30,41.2903,36.3336
1,30,0,49,-3.4328,104.2356
1,14,1,32,-22.1256,-51.3889
1,22,4,28,30.7735,-88.1301
1,21,1,13,53.9169,-122.7494
1,1,0,30,-8.3833,-74.55
1,30,1,32,38.6833,-4.1167
1,62,4,80,31.6061,34.7717
14,1,23,182,-32.8667,-71.25
1,60,0,284,24.82,84.65
1,44,5,62,40.6077,-74.2807
1,48,1,226,24.955,90.3573
1,48,1,226,25.55,82.1
0,12,0,16,15.083,-23.632
0,12,0,16,-7.0769,-41.4669
1,27,2,30,49.2,7.6
2,26,12,55,40.5024,-79.7495
1,46,0,14,40.2,16.6667
1,16,0,48,8.7667,-12.7875
1,43,2,39,41.695,-73.9211
1,44,4,52,39.3723,-76.8024
0,16,0,36,9.9619,98.6389
0,39,0,23,52.6,12.3333
1,25,9,58,55.7622,37.8567
1,21,6,56,32.9716,-96.7093
2,15,17,76,37.5295,-77.4756
2,15,17,76,49.1667,-123.1333
2,15,17,76,37.9477,-122.3389
2,15,17,76,-41.3333,173.1833
2,15,17,76,39.8318,-84.8905
2,15,17,76,37.7307,-84.2925
2,15,17,76,51.456,-0.301
2,15,17,76,29.5824,-95.7563
2,15,17,76,-33.5983,150.7511
2,15,17,76,-20.7305,143.1425
1,3,0,25,-6.05,-77.1417
1,30,1,40,45.8936,3.1125
1,47,2,27,41.7833,12.7667
1,31,1,42,44.3506,2.575
1,23,0,50,12.55,122.28
1,18,13,62,37.6862,-122.4685
0,9,1,25,-9.3858,-37.9958
1,34,0,10,54.15,33.2833
1,29,0,46,38.3886,35.4925
1,39,0,12,47.3907,35.0027
3,18,2,101,6.8167,1.7833
1,22,3,60,35.8613,-101.9642
1,24,5,93,36.0465,-89.3777
1,28,8,25,40.2913,-74.0558
1,22,1,39,29.2,-96.2723
1,27,10,44,39.2774,-76.8345
1,42,0,12,35.4492,137.4128
1,32,4,62,45.7,9.2167
1,22,6,35,56.198,-3.178
1,25,3,27,53.443,-1.949
0,18,0,19,-22.4333,18.9667
1,51,1,175,24.782,85.6943
1,33,1,28,39.52,-0.4114
1,3,3,37,-18.0128,-49.3569
0,30,2,27,51.5167,5.0667
1,10,16,61,25.9129,-80.2013
1,39,1,68,40.8667,20.1833
2,21,11,57,41.7374,-86.1348
1,29,2,27,42.4333,-123.3317
1,30,3,25,48.8381,-1.5869
1,22,1,35,25.5744,-108.4706
1,21,4,37,51.9533,14.7167
3,8,1,76,9.9342,13.9486
3,46,3,90,25.2819,110.2864
1,26,9,34,48.4336,-4.4008
1,30,1,65,30.4255,-86.6222
0,28,2,29,49.0981,2.5067
1,27,8,37,33.6073,-111.7398
1,29,3,72,38.6886,-104.6829
7,0,21,169,-23.2817,-46.7425
1,25,3,36,50.9119,13.3428
1,37,2,46,38.926,-78.1838
0,29,2,26,48.8039,8.3194
1,43,6,77,31.7886,34.7053
1,38,2,53,37.0667,14.25
0,25,3,30,51.7,5.9667
0,30,1,31,52.4,12.1667
0,19,0,27,6.8058,-58.1508
0,19,0,27,-7.9286,-14.4119
0,19,0,27,30.666,-97.6966
0,19,0,27,38.2247,-84.5487
0,19,0,27,31.9849,-81.226
0,19,0,27,-18.3,143.55
0,28,2,30,50.8806,12.0833
0,24,2,25,29.0516,-95.4521
2,22,14,57,30.1356,-81.7674
2,22,14,57,32.856,-116.904
2,22,14,57,37.6132,-77.4768
1,28,1,66,13.9297,100.7375
0,33,1,26,52.1333,5.4333
1,12,13,37,50.8747,0.0117
1,20,0,50,8.633,126.0932
1,26,2,46,44.92,-0.24
1,24,2,49,49.7012,17.0762
0,31,2,31,51.1,3.9833
0,29,3,34,51,4.3
2,21,3,176,15.6167,-16.2167
1,20,3,35,51.4,16.2
1,32,1,28,51.25,22.5667
1,29,0,32,13.9333,121.6167
1,29,0,32,37.4,-4.4833
1,29,0,32,10.8833,122.6
1,29,0,32,-6.9,-34.8689
4,14,7,117,-29.8167,27.25
1,25,2,56,33.2775,-93.2261
1,36,0,171,24.262,80.761
1,18,14,53,28.6295,-81.3718
1,18,14,53,-32.7167,151.55
1,26,3,40,48.8169,2.2944
1,18,1,34,11.8667,3.3833
1,22,6,69,45.8,8.8833
2,23,1,74,-7.2947,27.4545
1,17,4,118,10.6333,-71.6333
0,30,1,25,51.3667,7.4833
0,28,2,35,50.7836,3.1256
0,28,2,34,53.55,10
0,28,2,34,42.7394,-78.8581
2,35,8,73,32.9302,-80.0027
1,40,1,24,41.9333,25.9
1,43,0,443,29.613,73.1409
0,27,2,28,51.3992,7.1858
1,27,12,52,40.8211,-73.2109
2,20,20,70,37.6328,-122.0766
0,33,0,5,61.2,26.0333
1,59,1,23,34.8847,136.9934
0,30,1,24,49.5903,8.6564
4,169,3,150,26.8968,112.5857
1,27,11,61,40.7452,-74.0281
1,27,11,61,51.1667,4.3667
0,21,0,58,5.3514,48.5256
0,18,0,6,-9.4319,159.9556
0,20,0,20,-23.3442,-57.0436
0,31,0,30,40.5,44.7667
3,138,2,112,24.8167,120.9833
1,19,1,39,-11.1,-77.6
0,17,0,44,-18.3647,26.5
1,74,1,35,35.4981,140.1154
0,22,0,95,17.7189,73.3969
1,30,8,40,55.8892,37.445
1,37,1,75,48.5078,26.486
1,41,0,64,36.7167,37.1167
0,21,1,40,31.0753,-97.7297
1,30,3,59,48.3042,16.3167
1,48,0,35,44.0414,16.1986
0,22,0,104,-4.35,152.2736
1,30,0,10,22.43,87.87
1,30,0,10,68.8833,33.0833
1,39,0,20,47.6333,43.15
2,6,0,59,8.91,17.55
1,28,0,29,60.4167,57.1
1,34,1,24,46.5331,48.3456
1,34,1,24,53.3239,69.2525
1,26,2,36,50.2411,11.3281
0,30,1,27,50.1833,8.5
1,33,1,48,55.4167,42.5333
1,33,0,9,42.9833,144.3833
1,33,0,9,42.9961,144.4661
1,8,3,37,20.2833,-102.5667
1,30,6,60,43.1497,6.0742
2,5,4,55,15.05,-88.7333
2,14,19,58,32.711,-117.0027
0,28,2,41,52.2667,10.1833
1,15,1,31,-28.24,-48.67
1,8,0,24,-25.23,-50.6044
1,78,3,51,35.6379,139.5046
1,43,0,30,39.7167,2.9167
1,30,0,150,22.7167,75.8472
1,31,2,25,57.28,-2.38
2,116,0,64,24.3406,124.1556
1,17,3,36,15.3392,120.9069
2,9,9,95,19.9519,-99.5328
2,9,9,95,19.6113,-96.9224
6,10,3,171,-2.9022,30.4986
1,32,0,24,64.2311,27.7194
1,32,0,59,12.7691,79.4196
1,24,0,19,57.2333,37.8833
1,36,1,78,49.4472,28.5231
1,27,0,59,10.6,104.1667
1,30,2,14,61.4639,24.065
1,40,1,84,10.4587,79.141
1,75,1,34,35.8077,139.7241
1,6,14,54,40.6519,-112.0095
1,23,5,39,51.0031,4.6311
0,20,1,36,30.0398,-99.132
1,31,6,53,52.3931,-0.7229
1,31,6,53,39.6956,-84.1494
1,31,6,53,38.8888,-76.7889
1,29,2,112,17.2473,80.1514
0,31,0,130,21.82,76.35
1,40,2,23,42.9167,12.3333
1,37,6,59,43.2964,5.37
1,29,2,17,41.6178,-70.4908
2,17,0,62,1.6836,31.7222
2,23,1,65,13,15.7333
1,31,0,78,11.1286,123.9622
1,25,1,56,20.1444,-77.4361
4,7,8,121,4.2039,-74.6428
1,14,0,3,-33.25,-58.0333
1,14,0,3,-34.65,-59.4333
1,14,0,3,14.1093,123.0109
1,14,0,3,-29.2,-58.0833
1,14,0,3,26.1533,-97.9128
1,23,10,95,39.0186,-94.6933
1,33,3,52,45.182,-89.6994
0,34,2,32,51.75,4.17
1,42,1,72,37.4167,41.3697
1,7,1,47,-4.1658,-42.895
0,19,0,22,-34.3667,-55.2333
0,19,0,22,21.4894,-77.605
0,11,0,41,-9.5289,-48.59
2,134,1,159,30.822,75.174
2,33,5,89,45.5619,12.2364
1,32,2,32,44.0181,1.3558
1,29,3,40,51.1667,4.4667
1,19,4,30,55.7558,37.6178
1,19,4,30,46.7308,-116.9986
0,24,0,73,18.9667,77.9167
0,24,0,73,15.6406,75.9531
0,24,0,73,16.35,75.2833
1,21,1,59,20.48,-89.72
2,34,1,92,21.3472,-97.6833
1,40,0,52,45.3531,26.305
0,33,0,32,49.35,8.15
0,33,0,32,49.5967,10.6089
0,33,0,32,51.0239,14.2167
0,33,0,32,50.85,9.1167
0,33,0,32,50.7333,11.75
2,30,11,54,41.5095,-87.9703
0,31,2,21,54.983,-1.743
1,22,7,50,51.401,-1.323
1,36,1,53,47.0833,28.1833
1,44,1,16,35.132,137.0394
1,35,0,37,56.6667,59.3167
1,30,3,54,49.5867,7.1428
0,25,0,163,13.1578,-61.225
1,7,6,40,42.2195,-121.7754
1,62,0,101,33.5833,71.4333
1,45,0,160,41.7259,86.1746
1,39,0,89,50.3186,29.0592
1,13,0,56,10.653,-9.892
1,8,13,74,39.5915,-105.0188
1,8,13,74,42.535,-71.4891
1,48,3,36,40.3919,17.4483
0,12,0,11,-18.4167,-66.5833
1,28,10,42,39.3461,-76.7307
1,27,4,19,60.25,24.0667
0,15,0,10,19.6742,97.2092
1,42,2,82,45.6,8.75
2,10,8,67,-37.0833,-73.1667
1,14,0,40,-14.9167,13.5
4,20,0,90,-5.35,21.4167
2,21,0,43,25.75,93.17
1,42,0,435,28.28,76.15
1,29,0,55,38.3486,38.3194
0,15,0,25,7.2108,126.5328
3,15,1,75,-26.4833,31.3667
1,37,0,13,48.3,39.7333
0,21,0,50,13.0232,77.0252
1,17,3,34,38.2667,-3.6167
1,30,5,49,41.6804,2.2833
1,26,7,53,41.5156,2.1928
1,7,14,72,28.9241,-81.9299
1,15,0,48,5.03,118.34
1,25,4,43,50.8925,5.6497
1,26,4,41,48.7325,-3.4553
1,40,2,20,41.6833,12.7
1,8,4,61,16.3667,-91.7333
1,28,4,42,50.9667,3.9833
1,36,3,67,37.2833,15
1,30,3,22,42.5209,-71.7717
1,30,3,22,52.2282,-2.7385
1,14,3,50,10.7808,122.3894
1,36,1,52,43.3667,25.1333
1,28,2,58,24.0515,105.0573
1,14,10,58,26.2785,-80.0891
0,19,0,33,-13.9833,33.7833
4,25,4,138,12,8.5167
1,36,0,33,55.4833,60.2167
1,36,0,169,22.9153,79.0638
1,31,6,49,44.2773,-88.2641
1,23,6,18,60.4,25.1
1,24,3,63,51.05,16.2
1,31,1,21,47.9822,3.3972
0,34,1,31,53.5344,9.6817
0,16,0,36,-15.7667,28.1833
1,25,11,49,47.7921,-122.3077
2,16,4,59,33.1667,-5.5667
2,151,1,180,30.4743,74.5166
0,27,0,13,53.5224,-7.3378
3,176,2,194,30.1978,71.4697
2,17,1,74,5.2625,-0.7578
1,35,1,13,38.4833,140.3833
1,29,2,20,37.9861,-1.1303
1,29,2,20,10.6,123.0333
0,25,0,54,10.9333,78.45
2,18,21,58,42.886,-88.1291
0,35,1,42,52.2953,5.1622
0,27,0,30,21.3892,-158.1445
7,206,9,167,31.9829,120.8873
1,22,5,51,50.2944,4.1014
3,157,1,126,32.02,75.15
1,36,0,87,7.9667,123.75
0,16,0,32,9.95,99.0667
1,38,2,55,44.3167,9.3333
1,22,5,45,29.4874,-95.1087
1,40,1,55,50.5831,34.4823
3,8,37,114,33.938,-118.3586
1,31,1,50,48.2164,18.6081
0,13,1,12,-40.6219,175.2867
1,33,2,30,50.3833,8.0667
0,38,1,19,57.5667,12.1
1,33,2,23,45.6167,9.25
1,21,2,47,29.8785,-97.6831
1,21,2,47,28.627,-81.4354
1,33,2,29,50.8167,7.2167
4,99,5,97,27.7378,111.9974
1,22,0,66,-11.7918,19.9062
1,28,1,52,52.7819,28.0525
1,23,2,70,53.8667,34.4333
1,27,4,38,51.9333,4.2333
1,14,0,32,8.5504,-9.48
3,0,10,72,42.3666,-89.0266
0,28,1,29,48.65,11.7833
1,36,0,67,-7.98,112.62
1,22,0,54,10.958,123.123
1,49,0,36,41.6333,15.9167
1,32,1,15,37.2,-3.6333
0,16,0,17,7.5783,123.1659
1,33,0,10,58.3078,48.3181
1,44,4,31,45.0333,38.9667
1,24,10,61,55.8217,37.3386
1,24,10,61,48.4172,142.0869
1,25,0,19,58.0833,55.6833
0,34,1,52,58.1472,7.9972
1,31,0,31,54.9167,64.4333
1,23,3,38,50.8519,3.2861
1,23,3,38,50.6558,3.071
1,6,5,52,20.3333,-102.0167
1,48,2,34,41.9544,12.0742
0,29,1,40,39.75,-8.9333
1,39,4,38,35.6167,-5.2667
1,25,0,34,-8.5833,116.1167
2,42,8,111,39.5503,116.1063
2,10,27,77,41.5095,-87.7468
1,6,1,52,-17.3739,-40.2208
1,33,3,44,45.3588,9.3238
1,37,1,30,50,8.7
0,31,1,39,53.3024,-1.4664
3,102,4,179,22.64,88.22
1,27,2,51,47.3539,19.0948
0,27,3,36,51.13,0
0,29,1,50,51.78,-3.21
1,28,9,51,42.2489,-83.1399
3,5,9,79,13.7167,-88.9
3,5,9,79,13.35,-88
3,5,9,79,8.5128,-73.4508
3,11,11,99,14.7667,-91.8167
1,24,2,17,40.8381,-115.7678
1,32,2,26,53.7519,9.6511
1,29,2,23,47.2018,-121.9897
1,34,0,81,49.0278,104.0444
0,40,0,74,39.9086,41.2769
1,30,0,130,43.35,77.4667
2,1,3,55,-3.9019,-42.2339
2,1,3,55,-5.3428,-48.5108
1,28,4,38,51.4508,7.0131
1,28,4,38,51.4667,4.4667
1,31,2,25,37.2917,-4.8792
1,40,1,30,43.3333,12.9167
1,32,8,45,38.5974,-90.0053
1,82,1,301,31.4167,73.0911
2,41,5,59,38.8847,-77.1751
0,37,0,78,50.15,-5.07
0,37,0,78,18.49,-77.661
0,37,0,78,41.5913,-70.5912
0,37,0,78,43.7476,-70.2827
1,27,2,28,49.2992,6.1097
1,44,0,33,43.8333,13.0167
0,30,2,26,48.8086,9.2758
1,49,0,47,35.8725,14.5228
3,103,1,217,26.3,87.265
1,38,1,36,44.1833,12.1333
0,13,0,32,-26.1833,-58.1833
0,13,0,32,-15.5369,-47.3339
2,5,15,64,42.9253,-88.8442
1,24,4,58,40.2537,-103.7903
4,17,2,157,-1.7,29.25
1,9,15,84,25.8395,-80.2368
1,28,4,40,51.8306,4.9742
1,21,5,51,49.0325,2.4747
1,17,4,43,39.0877,-108.5673
1,34,3,72,43.6667,6.9167
2,12,15,66,36.168,-82.8197
2,5,14,75,39.6153,-104.9131
2,1,6,59,-1.6,-79
2,1,6,59,8.4672,-74.5367
1,25,1,32,40.5333,-7.3333
1,27,6,85,44.9167,10.6667
3,41,6,99,26.5794,106.7078
1,34,2,27,51.0333,7.5667
1,37,1,24,52.3331,8.75
3,4,12,144,19.15,-72.0167
1,29,4,64,37.3434,-79.9534
1,25,3,31,49.3167,7.3333
2,17,7,72,34.4892,-93.0501
2,28,2,70,42.9633,126.7478
3,8,11,95,19.1489,-96.9661
2,29,2,68,42.6229,126.2614
4,44,7,124,23.1115,114.4152
1,32,2,24,54.4667,9.05
1,29,4,39,51.8833,5.2833
1,40,0,61,46.72,25.59
1,46,0,174,26.2215,78.178
1,11,12,83,25.9854,-80.1423
0,38,0,20,56.6739,12.8572
1,37,1,24,52.1,9.3667
1,28,4,34,51.7319,6.5908
1,32,1,38,47.6681,19.6697
1,45,1,53,34.9078,-76.8987
1,31,1,26,38.6224,-122.8651
0,32,1,26,48.5967,8.8708
2,6,17,93,25.8696,-80.3045
1,7,1,25,-3.7275,-38.5275
1,20,7,56,33.156,-96.8216
1,38,0,14,36.2381,137.1862
1,18,0,31,-24.6667,25.7833
1,5,3,36,5.0833,-73.3667
1,45,1,25,38.8122,-94.9275
1,45,1,25,42.5845,-71.9868
1,30,8,47,41.3696,-81.815
1,27,2,61,50.2833,21.4333
1,26,4,46,43.2508,-5.7767
1,31,0,43,50.0667,43.25
1,31,0,43,43.9283,132.0061
0,16,0,26,-7.4072,36.9722
1,13,6,59,-2.1347,-79.5872
1,21,8,44,40.6892,-111.8292
1,21,8,44,42.0859,-80.1194
2,16,10,72,33.0874,-83.2414
1,17,0,32,-24.6333,25.8667
1,32,0,46,6.8726,81.3373
